Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Cagliari,Italian Serie A,J5,42%,329 of 425 — 77%,0 of 6 — 0%,3 of 5 — 60%
Inter,Italian Serie A,J5,58%,82% — 476 of 577,25% — 5 of 20,% — 0 of 0
