Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Angers,French Ligue 1,J6,57%,419 of 522 — 80%,2 of 11 — 18%,1 of 2 — 50%
Brest,French Ligue 1,J6,43%,72% — 287 of 401,33% — 2 of 6,100% — 2 of 2
