Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Gladbach,German Bundesliga,J6,52%,418 of 496 — 84%,5 of 9 — 56%,1 of 1 — 100%
Freiburg,German Bundesliga,J6,48%,81% — 371 of 460,8% — 1 of 12,100% — 5 of 5
