Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Levante,Spanish La Liga,J4,33%,214 of 299 — 72%,2 of 5 — 40%,7 of 9 — 77%
Betis,Spanish La Liga,J4,67%,85% — 513 of 605,32% — 9 of 28,0% — 0 of 2
