Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Panathinaikos,UEFA Europa League,J2,64%,573 of 667 — 86%,9 of 33 — 27%,2 of 4 — 50%
Go Ahead Eag,UEFA Europa League,J2,36%,80% — 296 of 370,57% — 4 of 7,88% — 8 of 9
