Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Toulouse,French Ligue 1,J3,25%,219 of 290 — 76%,5 of 13 — 38%,2 of 6 — 33%
Paris S-G,French Ligue 1,J3,75%,93% — 818 of 877,55% — 6 of 11,40% — 2 of 5
