Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Juventus,Italian Serie A,J9,57%,402 of 492 — 82%,9 of 23 — 39%,1 of 2 — 50%
Udinese,Italian Serie A,J9,43%,78% — 293 of 375,25% — 2 of 8,88% — 8 of 9
