Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Nantes,French Ligue 1,J5,42%,303 of 392 — 77%,3 of 15 — 20%,2 of 3 — 66%
Rennes,French Ligue 1,J5,58%,84% — 452 of 536,43% — 3 of 7,33% — 1 of 3
