,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Nikita Haikin,Bodø/Glimt,UEFA Champions League,ru RUS,30-116,90,2,1,1,50.0,0.7,3,11,27.3,40,8,27.5,31.1,4,0.0,17.5,10,2,20.0,1,16.0
J4,Philipp Köhn,Monaco,UEFA Champions League,ch SUI,27-216,90,4,0,4,100.0,1.0,3,12,25.0,24,5,29.2,33.0,6,83.3,51.5,11,0,0.0,2,26.0
