Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Celtic,UEFA Europa League,J2,56%,554 of 646 — 86%,3 of 9 — 33%,4 of 6 — 66%
Braga,UEFA Europa League,J2,44%,81% — 413 of 509,46% — 6 of 13,100% — 3 of 3
