Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Paris S-G,French Ligue 1,J6,66%,631 of 699 — 90%,8 of 15 — 53%,2 of 2 — 100%
Auxerre,French Ligue 1,J6,34%,76% — 277 of 366,17% — 2 of 12,75% — 6 of 8
