,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Jaylan Hankins,Red Imps,UEFA Europa Conference League,gi GIB,24-354,90,5,1,4,80.0,0.5,4,16,25.0,21,6,57.1,44.0,5,80.0,60.4,15,2,13.3,0,6.0
J3,Martin Zlomislić,Rijeka,UEFA Europa Conference League,ba BIH,27-082,90,4,1,2,75.0,1.9,3,14,21.4,23,6,30.4,31.4,8,87.5,56.8,14,1,7.1,0,8.1
