Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Brest,French Ligue 1,J7,51%,347 of 440 — 79%,5 of 17 — 29%,0 of 0 — %
Nantes,French Ligue 1,J7,49%,82% — 349 of 425,0% — 0 of 6,100% — 5 of 5
