Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Pisa,Italian Serie A,J3,51%,340 of 433 — 79%,2 of 12 — 17%,2 of 3 — 66%
Udinese,Italian Serie A,J3,49%,77% — 321 of 416,23% — 3 of 13,100% — 2 of 2
