Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Bodø/Glimt,UEFA Champions League,J2,52%,464 of 541 — 86%,4 of 17 — 24%,2 of 3 — 66%
Tottenham,UEFA Champions League,J2,48%,83% — 417 of 500,38% — 3 of 8,50% — 2 of 4
