Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Athletic Club,UEFA Champions League,J3,59%,442 of 533 — 83%,5 of 21 — 24%,2 of 3 — 66%
Qarabağ,UEFA Champions League,J3,41%,73% — 267 of 365,33% — 3 of 9,40% — 2 of 5
