Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Girona,Spanish La Liga,J3,59%,393 of 490 — 80%,5 of 20 — 25%,2 of 4 — 50%
Sevilla,Spanish La Liga,J3,41%,78% — 270 of 345,31% — 4 of 13,100% — 5 of 5
