,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Vanja Milinković-Savić,Napoli,UEFA Champions League,rs SRB,28-257,90,3,0,3,100.0,0.4,3,9,33.3,44,4,20.5,30.0,1,0.0,23.0,8,0,0.0,2,17.0
J4,Michael Zetterer,Eint Frankfurt,UEFA Champions League,de GER,30-115,90,2,0,2,100.0,0.2,6,24,25.0,35,2,51.4,40.3,6,100.0,70.2,19,0,0.0,0,6.0
