Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Köln,German Bundesliga,J5,43%,328 of 416 — 79%,5 of 15 — 33%,3 of 4 — 75%
Stuttgart,German Bundesliga,J5,57%,83% — 456 of 551,29% — 4 of 14,80% — 4 of 5
