Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Lyon,French Ligue 1,J5,67%,555 of 628 — 88%,5 of 16 — 31%,2 of 2 — 100%
Angers,French Ligue 1,J5,33%,77% — 241 of 313,20% — 2 of 10,80% — 4 of 5
