Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Napoli,Italian Serie A,J10,46%,344 of 425 — 81%,8 of 13 — 62%,1 of 1 — 100%
Como,Italian Serie A,J10,54%,85% — 427 of 503,8% — 1 of 13,100% — 8 of 8
