,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Antonis Tsiftsis,PAOK,UEFA Europa League,gr GRE,26-108,90,1,0,1,100.0,0.3,0,3,0.0,13,5,15.4,27.2,5,20.0,31.8,4,0,0.0,1,21.7
J4,Marvin Keller,Young Boys,UEFA Europa League,ch SUI,23-126,90,10,4,6,60.0,5.1,8,24,33.3,39,4,35.9,33.2,13,76.9,53.5,13,0,0.0,1,14.8
