Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Celta Vigo,Spanish La Liga,J4,59%,589 of 675 — 87%,6 of 20 — 30%,7 of 8 — 87%
Girona,Spanish La Liga,J4,41%,82% — 381 of 466,62% — 8 of 13,100% — 6 of 6
