,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Peter Vindahl Jensen,Sparta Prague,UEFA Europa Conference League,dk DEN,27-263,90,1,0,1,100.0,0.4,6,10,60.0,44,8,22.7,28.4,3,0.0,25.7,5,0,0.0,1,12.5
J3,Oliwier Zych,Raków,UEFA Europa Conference League,pl POL,21-131,90,5,0,5,100.0,1.2,5,28,17.9,38,5,52.6,39.9,9,88.9,66.1,16,2,12.5,0,5.0
