,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Wessel Speel,Shelbourne FC,UEFA Europa Conference League,nl NED,24-020,90,5,1,4,80.0,1.5,11,30,36.7,31,6,58.1,44.6,12,100.0,71.0,17,2,11.8,0,9.2
J3,Faton Maloku,KF Drita,UEFA Europa Conference League,xk KVX,34-145,90,2,0,2,100.0,0.2,1,4,25.0,20,3,10.0,28.0,8,25.0,31.9,11,1,9.1,2,14.7
