Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Freiburg,German Bundesliga,J5,43%,219 of 337 — 65%,1 of 6 — 17%,3 of 4 — 75%
Hoffenheim,German Bundesliga,J5,57%,74% — 332 of 449,27% — 4 of 15,0% — 0 of 1
