Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Bayern Munich,UEFA Champions League,J3,63%,687 of 757 — 91%,11 of 26 — 42%,2 of 2 — 100%
Club Brugge,UEFA Champions League,J3,37%,87% — 383 of 439,40% — 2 of 5,63% — 7 of 11
