Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Athletic Club,Spanish La Liga,J4,58%,406 of 528 — 77%,3 of 12 — 25%,2 of 2 — 100%
Alavés,Spanish La Liga,J4,42%,70% — 268 of 385,50% — 2 of 4,100% — 3 of 3
