,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J10,Robin Roefs,Sunderland,English Premier League,nl NED,22-290,90,2,1,1,50.0,0.7,3,17,17.6,43,4,30.2,31.9,4,100.0,69.8,6,3,50.0,2,12.3
J10,Jordan Pickford,Everton,English Premier League,eng ENG,31-241,90,3,1,2,66.7,1.4,5,21,23.8,32,3,56.3,44.3,3,100.0,66.3,17,0,0.0,3,20.0
