Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Heidenheim,German Bundesliga,J5,48%,297 of 412 — 72%,5 of 11 — 45%,1 of 2 — 50%
Augsburg,German Bundesliga,J5,52%,79% — 352 of 447,25% — 2 of 8,60% — 3 of 5
