,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Elías Rafn Ólafsson,Midtjylland,UEFA Europa League,is ISL,25-240,90,3,1,2,100.0,0.9,9,14,64.3,38,7,34.2,32.6,3,33.3,34.3,5,1,20.0,2,20.4
J4,Kasper Schmeichel,Celtic,UEFA Europa League,dk DEN,39-001,90,12,3,9,75.0,3.3,6,23,26.1,32,3,50.0,36.6,10,70.0,43.0,24,1,4.2,1,18.0
