,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J10,Arijanet Muric,Sassuolo,Italian Serie A,xk KVX,26-361,90,4,2,2,50.0,1.9,2,14,14.3,32,8,28.1,28.7,7,71.4,49.7,19,3,15.8,1,8.8
J10,Nicola Leali,Genoa,Italian Serie A,it ITA,32-259,90,4,1,3,75.0,0.8,13,23,56.5,26,1,73.1,50.2,4,100.0,69.0,13,0,0.0,1,14.5
