,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J12,Obed Nkambadio,Paris FC,French Ligue 1,fr FRA,22-273,90,3,1,2,66.7,1.0,0,11,0.0,44,6,22.7,29.4,7,14.3,23.9,17,1,5.9,1,11.9
J12,Brice Samba,Rennes,French Ligue 1,fr FRA,31-196,90,4,0,4,100.0,0.7,4,14,28.6,28,2,39.3,30.7,7,42.9,35.1,16,0,0.0,0,14.0
