Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Slavia Prague,UEFA Champions League,J4,43%,201 of 295 — 68%,1 of 9 — 11%,5 of 7 — 71%
Arsenal,UEFA Champions League,J4,57%,78% — 301 of 385,54% — 7 of 13,100% — 1 of 1
