,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J10,Wilson Isidor,Sunderland,English Premier League,18.0,fr FRA,FW,25-068,82,0,0,0,0,3,1,0,0,18,0,0,1,0.3,0.3,0.0,1,0,5,9,55.6,0,8,2,3,1,Wilson Isidor,18.0,fr FRA,FW,25-068,82,5,9,55.6,50,0,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Wilson Isidor,18.0,fr FRA,FW,25-068,82,9,9,0,0,0,0,0,0,0,0,0,0,5,0,2,Wilson Isidor,18.0,fr FRA,FW,25-068,82,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Wilson Isidor,18.0,fr FRA,FW,25-068,82,18,0,0,8,11,5,18,3,1,33.3,2,66.7,8,67,25,2,1,1,1,0,12,7,Wilson Isidor,18.0,fr FRA,FW,25-068,82,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,66.7
J10,Brian Brobbey,Sunderland,English Premier League,9.0,nl NED,FW,23-275,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Brian Brobbey,9.0,nl NED,FW,23-275,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Brian Brobbey,9.0,nl NED,FW,23-275,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brian Brobbey,9.0,nl NED,FW,23-275,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Brian Brobbey,9.0,nl NED,FW,23-275,8,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,1,Brian Brobbey,9.0,nl NED,FW,23-275,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
J10,Enzo Le Fée,Sunderland,English Premier League,28.0,fr FRA,LW,25-273,90,0,1,0,0,2,0,0,0,62,3,0,2,0.0,0.0,0.2,6,2,37,46,80.4,6,33,3,3,0,Enzo Le Fée,28.0,fr FRA,LW,25-273,90,37,46,80.4,586,121,21,25,84.0,14,15,93.3,2,4,50.0,1,0.2,0.2,2,0,2,1,6,Enzo Le Fée,28.0,fr FRA,LW,25-273,90,46,44,1,0,0,0,2,0,1,1,0,0,37,1,1,Enzo Le Fée,28.0,fr FRA,LW,25-273,90,3,2,1,1,1,2,3,66.7,1,2,0,2,0,3,2,0,Enzo Le Fée,28.0,fr FRA,LW,25-273,90,62,2,6,24,32,3,62,3,0,0.0,3,100.0,33,129,70,3,1,1,4,0,42,8,Enzo Le Fée,28.0,fr FRA,LW,25-273,90,0,0,0,1,0,0,2,0,2,0,0,0,4,0,2,0.0
J10,Bertrand Traoré,Sunderland,English Premier League,25.0,bf BFA,RW,30-058,81,0,0,0,0,4,0,0,0,40,1,0,1,0.1,0.1,0.0,5,0,20,28,71.4,4,28,1,7,4,Bertrand Traoré,25.0,bf BFA,RW,30-058,81,20,28,71.4,307,95,8,10,80.0,12,16,75.0,0,1,0.0,0,0.0,0.0,1,3,1,0,4,Bertrand Traoré,25.0,bf BFA,RW,30-058,81,28,27,0,0,0,0,2,0,0,0,0,0,20,1,0,Bertrand Traoré,25.0,bf BFA,RW,30-058,81,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,0,0,Bertrand Traoré,25.0,bf BFA,RW,30-058,81,40,2,5,15,20,4,40,7,4,57.1,2,28.6,28,118,53,1,3,1,3,1,31,12,Bertrand Traoré,25.0,bf BFA,RW,30-058,81,0,0,0,1,1,0,2,0,0,0,0,0,3,1,1,50.0
J10,Chemsdine Talbi,Sunderland,English Premier League,7.0,ma MAR,RW,20-178,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Chemsdine Talbi,7.0,ma MAR,RW,20-178,9,3,5,60.0,69,8,1,1,100.0,1,3,33.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Chemsdine Talbi,7.0,ma MAR,RW,20-178,9,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,Chemsdine Talbi,7.0,ma MAR,RW,20-178,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Chemsdine Talbi,7.0,ma MAR,RW,20-178,9,5,0,1,1,3,0,5,0,0,,0,,3,7,6,0,0,0,0,0,3,2,Chemsdine Talbi,7.0,ma MAR,RW,20-178,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
J10,Reinildo Mandava,Sunderland,English Premier League,17.0,mz MOZ,LM,31-286,90,0,0,0,0,1,0,0,0,71,2,1,1,0.1,0.1,0.0,1,0,51,58,87.9,5,38,3,3,1,Reinildo Mandava,17.0,mz MOZ,LM,31-286,90,51,58,87.9,879,149,24,26,92.3,17,19,89.5,7,10,70.0,0,0.0,0.0,0,3,0,0,5,Reinildo Mandava,17.0,mz MOZ,LM,31-286,90,58,53,5,0,0,0,1,5,0,0,0,0,51,0,0,Reinildo Mandava,17.0,mz MOZ,LM,31-286,90,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,3,0,Reinildo Mandava,17.0,mz MOZ,LM,31-286,90,71,4,18,33,20,4,71,3,1,33.3,1,33.3,38,189,87,3,4,1,3,1,48,5,Reinildo Mandava,17.0,mz MOZ,LM,31-286,90,0,0,0,2,1,1,1,1,1,0,0,0,4,1,2,33.3
J10,Noah Sadiki,Sunderland,English Premier League,27.0,cd COD,CM,20-321,90,0,0,0,0,0,0,1,0,60,2,0,2,0.0,0.0,0.1,3,0,39,45,86.7,7,38,2,1,0,Noah Sadiki,27.0,cd COD,CM,20-321,90,39,45,86.7,646,162,15,15,100.0,20,22,90.9,3,4,75.0,0,0.1,0.2,1,5,2,1,7,Noah Sadiki,27.0,cd COD,CM,20-321,90,45,45,0,0,0,0,2,0,0,0,0,0,39,0,0,Noah Sadiki,27.0,cd COD,CM,20-321,90,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,2,0,Noah Sadiki,27.0,cd COD,CM,20-321,90,60,1,11,29,21,1,60,1,0,0.0,1,100.0,38,160,62,2,1,0,5,0,37,6,Noah Sadiki,27.0,cd COD,CM,20-321,90,1,0,0,1,2,0,2,0,1,0,0,0,9,0,1,0.0
J10,Granit Xhaka,Sunderland,English Premier League,34.0,ch SUI,CM,33-037,90,1,0,0,0,1,1,0,0,83,3,1,1,0.0,0.0,0.4,7,0,65,76,85.5,11,48,4,0,0,Granit Xhaka,34.0,ch SUI,CM,33-037,90,65,76,85.5,1325,439,29,31,93.5,23,26,88.5,12,17,70.6,0,0.4,0.4,5,14,1,1,11,Granit Xhaka,34.0,ch SUI,CM,33-037,90,76,67,9,3,0,1,6,1,3,3,0,0,65,0,0,Granit Xhaka,34.0,ch SUI,CM,33-037,90,3,3,1,1,1,1,2,50.0,1,1,0,1,1,4,0,0,Granit Xhaka,34.0,ch SUI,CM,33-037,90,83,0,12,51,21,0,83,0,0,,0,,48,247,147,4,1,0,3,0,56,2,Granit Xhaka,34.0,ch SUI,CM,33-037,90,0,0,0,1,2,0,6,1,3,0,0,0,6,1,0,100.0
J10,Trai Hume,Sunderland,English Premier League,32.0,nir NIR,RM,23-230,90,0,0,0,0,1,1,1,0,40,0,0,1,0.1,0.1,0.1,2,0,26,35,74.3,5,22,2,0,0,Trai Hume,32.0,nir NIR,RM,23-230,90,26,35,74.3,375,82,15,19,78.9,9,13,69.2,1,1,100.0,0,0.1,0.1,2,2,3,0,5,Trai Hume,32.0,nir NIR,RM,23-230,90,35,35,0,0,1,0,3,0,0,0,0,0,26,0,0,Trai Hume,32.0,nir NIR,RM,23-230,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Trai Hume,32.0,nir NIR,RM,23-230,90,40,0,5,23,13,3,40,0,0,,0,,22,75,35,2,2,0,2,0,26,7,Trai Hume,32.0,nir NIR,RM,23-230,90,1,0,0,3,0,0,3,0,0,0,0,0,2,2,2,50.0
J10,Lutsharel Geertruida,Sunderland,English Premier League,6.0,nl NED,CB,25-108,90,0,0,0,0,1,0,0,0,83,2,1,1,0.0,0.0,0.0,1,0,71,74,95.9,4,55,1,1,1,Lutsharel Geertruida,6.0,nl NED,CB,25-108,90,71,74,95.9,1358,412,27,28,96.4,35,36,97.2,8,9,88.9,0,0.0,0.0,0,8,0,0,4,Lutsharel Geertruida,6.0,nl NED,CB,25-108,90,74,73,1,1,0,0,0,0,0,0,0,0,71,0,0,Lutsharel Geertruida,6.0,nl NED,CB,25-108,90,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,3,0,Lutsharel Geertruida,6.0,nl NED,CB,25-108,90,83,5,35,44,4,0,83,1,1,100.0,0,0.0,55,302,196,1,2,0,1,0,63,0,Lutsharel Geertruida,6.0,nl NED,CB,25-108,90,0,0,0,0,0,0,0,1,2,0,0,0,6,0,1,0.0
