,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J11,Adrian Šemper,Pisa,Italian Serie A,hr CRO,27-299,90,3,0,3,100.0,0.4,9,20,45.0,25,3,52.0,36.8,7,100.0,61.1,18,2,11.1,0,3.0
J11,Emil Audero,Cremonese,Italian Serie A,id IDN,28-293,90,6,1,5,83.3,0.9,2,15,13.3,43,6,30.2,35.7,3,66.7,56.7,18,3,16.7,3,16.3
