Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Monaco,UEFA Champions League,J2,29%,257 of 328 — 78%,2 of 7 — 29%,4 of 6 — 66%
Manchester City,UEFA Champions League,J2,71%,93% — 754 of 815,33% — 6 of 18,50% — 1 of 2
