Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Osasuna,Spanish La Liga,J4,36%,254 of 338 — 75%,6 of 9 — 67%,6 of 6 — 100%
Rayo Vallecano,Spanish La Liga,J4,64%,84% — 505 of 599,32% — 6 of 19,66% — 4 of 6
