,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Michele Di Gregorio,Juventus,UEFA Champions League,it ITA,28-100,90,1,1,0,0.0,0.3,3,8,37.5,26,3,30.8,32.3,3,0.0,21.7,2,0,0.0,1,15.5
J4,Rui Silva,Sporting CP,UEFA Champions League,pt POR,31-270,90,9,1,8,88.9,1.3,3,8,37.5,22,6,18.2,24.5,8,50.0,42.9,19,0,0.0,0,
