,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Yann Sommer,Inter,UEFA Champions League,ch SUI,36-323,90,3,1,2,66.7,0.3,3,12,25.0,43,2,23.3,27.7,5,40.0,39.2,7,0,0.0,2,27.5
J4,Temirlan Anarbekov,Qaırat Almaty,UEFA Champions League,kz KAZ,22-022,90,8,2,6,75.0,2.8,2,13,15.4,22,5,54.5,45.8,3,33.3,41.7,20,0,0.0,0,6.9
