,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Zlatan Alomerović,AÉK Lárnaka,UEFA Europa Conference League,de GER,34-144,90,0,0,0,,0.0,1,1,100.0,10,2,10.0,22.3,4,0.0,15.5,10,0,0.0,4,30.6
J3,Dimitar Mitov,Aberdeen,UEFA Europa Conference League,bg BUL,28-288,90,2,0,2,100.0,0.4,4,13,30.8,21,2,42.9,36.2,6,66.7,50.5,20,1,5.0,0,8.5
