Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Espanyol,Spanish La Liga,J3,46%,341 of 446 — 76%,4 of 10 — 40%,3 of 3 — 100%
Osasuna,Spanish La Liga,J3,54%,80% — 426 of 530,30% — 3 of 10,75% — 3 of 4
