Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Matz Sels,Nott'ham Forest,UEFA Europa League,be BEL,33-239,90,1,0,1,100.0,0.2,5,13,38.5,25,3,44.0,36.6,4,50.0,42.3,12,0,0.0,0,6.3
J3,Diogo Costa,Porto,UEFA Europa League,pt POR,26-034,90,3,2,1,100.0,1.7,0,3,0.0,29,9,10.3,21.4,2,0.0,16.0,14,0,0.0,1,11.8
