Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Mainz 05,German Bundesliga,J9,47%,336 of 460 — 73%,4 of 10 — 40%,2 of 3 — 66%
Werder Bremen,German Bundesliga,J9,53%,78% — 402 of 514,60% — 3 of 5,75% — 3 of 4
