Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Metz,French Ligue 1,J4,55%,493 of 576 — 86%,4 of 8 — 50%,3 of 3 — 100%
Angers,French Ligue 1,J4,45%,86% — 409 of 475,33% — 3 of 9,75% — 3 of 4
