Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Bayern Munich,German Bundesliga,J5,59%,610 of 701 — 87%,11 of 25 — 44%,3 of 3 — 100%
Werder Bremen,German Bundesliga,J5,41%,79% — 382 of 485,33% — 3 of 9,72% — 8 of 11
