Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Roma,Italian Serie A,J9,61%,474 of 581 — 82%,6 of 18 — 33%,4 of 5 — 80%
Parma,Italian Serie A,J9,39%,73% — 276 of 379,63% — 5 of 8,66% — 4 of 6
