Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Arsenal,UEFA Champions League,J2,61%,440 of 543 — 81%,4 of 16 — 25%,3 of 3 — 100%
Olympiacos,UEFA Champions League,J2,39%,70% — 246 of 351,30% — 3 of 10,50% — 2 of 4
