Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Malmö,UEFA Europa League,J1,60%,531 of 630 — 84%,5 of 10 — 50%,5 of 6 — 83%
Ludogorets,UEFA Europa League,J1,40%,78% — 330 of 424,30% — 6 of 20,80% — 4 of 5
