,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J4,Moritz Broschinski,Basel,UEFA Europa League,17.0,de GER,FW,25-044,85,0,0,0,0,3,1,0,0,32,0,0,2,0.8,0.8,0.3,5,0,13,18,72.2,2,14,1,4,0,Moritz Broschinski,17.0,de GER,FW,25-044,85,13,18,72.2,173,32,7,9,77.8,5,5,100.0,0,0,,0,0.3,0.1,5,1,1,0,2,Moritz Broschinski,17.0,de GER,FW,25-044,85,18,17,0,0,0,0,0,0,0,0,0,0,13,1,1,Moritz Broschinski,17.0,de GER,FW,25-044,85,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Moritz Broschinski,17.0,de GER,FW,25-044,85,32,0,0,7,25,9,32,4,0,0.0,4,100.0,14,56,8,1,1,2,2,1,24,12,Moritz Broschinski,17.0,de GER,FW,25-044,85,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,66.7
J4,Andrej Bačanin,Basel,UEFA Europa League,14.0,rs SRB,AM,18-244,5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.2,2,0,6,7,85.7,3,5,0,0,0,Andrej Bačanin,14.0,rs SRB,AM,18-244,5,6,7,85.7,97,30,2,2,100.0,4,4,100.0,0,0,,0,0.2,0.0,1,2,0,0,3,Andrej Bačanin,14.0,rs SRB,AM,18-244,5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Andrej Bačanin,14.0,rs SRB,AM,18-244,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Andrej Bačanin,14.0,rs SRB,AM,18-244,5,7,0,1,4,2,0,7,0,0,,0,,5,32,15,0,1,0,0,0,5,0,Andrej Bačanin,14.0,rs SRB,AM,18-244,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
J4,Marin Šotiček,Basel,UEFA Europa League,19.0,hr CRO,LW,21-049,61,0,0,0,0,1,0,0,0,35,1,0,1,0.1,0.1,0.0,2,0,18,22,81.8,3,22,1,8,3,Marin Šotiček,19.0,hr CRO,LW,21-049,61,18,22,81.8,269,47,10,11,90.9,7,7,100.0,1,1,100.0,0,0.0,0.1,1,2,2,0,3,Marin Šotiček,19.0,hr CRO,LW,21-049,61,22,22,0,0,0,0,0,0,0,0,0,0,18,0,2,Marin Šotiček,19.0,hr CRO,LW,21-049,61,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Marin Šotiček,19.0,hr CRO,LW,21-049,61,35,0,2,12,23,7,35,8,3,37.5,5,62.5,22,166,51,1,3,2,2,0,21,10,Marin Šotiček,19.0,hr CRO,LW,21-049,61,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,
J4,Philip Otele,Basel,UEFA Europa League,7.0,ng NGA,LW,26-205,29,0,0,0,0,2,1,0,0,15,0,0,0,0.2,0.2,0.1,1,0,10,12,83.3,2,16,4,1,0,Philip Otele,7.0,ng NGA,LW,26-205,29,10,12,83.3,164,39,5,7,71.4,5,5,100.0,0,0,,0,0.1,0.2,1,2,0,0,2,Philip Otele,7.0,ng NGA,LW,26-205,29,12,11,1,1,0,0,1,0,0,0,0,0,10,0,0,Philip Otele,7.0,ng NGA,LW,26-205,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Philip Otele,7.0,ng NGA,LW,26-205,29,15,0,1,7,7,4,15,1,0,0.0,1,100.0,16,198,118,4,0,4,0,2,16,3,Philip Otele,7.0,ng NGA,LW,26-205,29,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
J4,Bénie Traoré,Basel,UEFA Europa League,11.0,ci CIV,RW,22-341,75,0,0,0,0,1,0,0,0,45,2,1,1,0.1,0.1,0.1,4,0,17,27,63.0,5,24,3,7,1,Bénie Traoré,11.0,ci CIV,RW,22-341,75,17,27,63.0,256,74,7,11,63.6,8,10,80.0,1,1,100.0,0,0.1,0.1,2,2,4,0,5,Bénie Traoré,11.0,ci CIV,RW,22-341,75,27,25,2,0,0,0,0,2,0,0,0,0,17,0,2,Bénie Traoré,11.0,ci CIV,RW,22-341,75,2,2,0,2,0,1,1,100.0,0,1,0,1,1,3,1,0,Bénie Traoré,11.0,ci CIV,RW,22-341,75,45,1,3,13,29,5,45,7,1,14.3,6,85.7,24,143,74,3,1,0,2,3,28,6,Bénie Traoré,11.0,ci CIV,RW,22-341,75,0,0,0,2,1,1,0,1,2,0,0,0,2,0,0,
J4,Ibrahim Salah,Basel,UEFA Europa League,21.0,ma MAR,RW,24-068,15,1,0,0,0,1,1,0,0,18,0,0,0,0.2,0.2,0.0,0,0,12,14,85.7,0,9,0,1,0,Ibrahim Salah,21.0,ma MAR,RW,24-068,15,12,14,85.7,200,44,3,3,100.0,7,9,77.8,0,0,,0,0.0,0.0,0,0,0,0,0,Ibrahim Salah,21.0,ma MAR,RW,24-068,15,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Ibrahim Salah,21.0,ma MAR,RW,24-068,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ibrahim Salah,21.0,ma MAR,RW,24-068,15,18,0,2,5,11,1,18,1,0,0.0,1,100.0,9,73,25,0,0,0,0,0,14,6,Ibrahim Salah,21.0,ma MAR,RW,24-068,15,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
J4,Xherdan Shaqiri,Basel,UEFA Europa League,10.0,ch SUI,"AM,FW",34-027,90,2,1,1,1,8,3,0,0,86,0,0,0,2.2,1.4,0.6,10,2,50,74,67.6,14,51,3,0,0,Xherdan Shaqiri,10.0,ch SUI,"AM,FW",34-027,90,50,74,67.6,800,349,27,31,87.1,17,25,68.0,5,12,41.7,1,0.6,0.8,4,5,5,0,14,Xherdan Shaqiri,10.0,ch SUI,"AM,FW",34-027,90,74,61,12,1,6,0,7,1,8,4,2,0,50,1,3,Xherdan Shaqiri,10.0,ch SUI,"AM,FW",34-027,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Xherdan Shaqiri,10.0,ch SUI,"AM,FW",34-027,90,86,0,3,29,54,6,85,0,0,,0,,51,212,106,3,5,1,1,6,64,8,Xherdan Shaqiri,10.0,ch SUI,"AM,FW",34-027,90,0,0,0,1,3,0,7,0,0,0,0,0,4,1,0,100.0
J4,Léo Leroy,Basel,UEFA Europa League,22.0,fr FRA,DM,25-265,61,0,0,0,0,3,1,1,0,76,4,1,1,0.1,0.1,0.0,8,0,53,63,84.1,10,44,4,2,1,Léo Leroy,22.0,fr FRA,DM,25-265,61,53,63,84.1,891,329,28,30,93.3,19,22,86.4,5,7,71.4,0,0.0,0.2,0,9,4,2,10,Léo Leroy,22.0,fr FRA,DM,25-265,61,63,62,1,1,1,0,3,0,0,0,0,0,53,0,1,Léo Leroy,22.0,fr FRA,DM,25-265,61,4,3,1,3,0,3,3,100.0,0,1,0,1,1,5,0,0,Léo Leroy,22.0,fr FRA,DM,25-265,61,76,0,3,46,28,3,76,2,1,50.0,1,50.0,44,215,159,4,3,1,1,0,52,3,Léo Leroy,22.0,fr FRA,DM,25-265,61,1,0,0,2,0,0,3,1,3,0,0,0,5,2,1,66.7
J4,Koba Koindredi,Basel,UEFA Europa League,8.0,fr FRA,DM,24-010,29,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,3,0,20,25,80.0,6,21,2,0,0,Koba Koindredi,8.0,fr FRA,DM,24-010,29,20,25,80.0,311,78,10,12,83.3,9,9,100.0,1,2,50.0,0,0.0,0.0,1,3,1,0,6,Koba Koindredi,8.0,fr FRA,DM,24-010,29,25,25,0,0,0,0,0,0,0,0,0,0,20,0,1,Koba Koindredi,8.0,fr FRA,DM,24-010,29,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Koba Koindredi,8.0,fr FRA,DM,24-010,29,31,0,4,15,13,1,31,0,0,,0,,21,98,67,2,2,0,2,0,22,2,Koba Koindredi,8.0,fr FRA,DM,24-010,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
J4,Metinho,Basel,UEFA Europa League,5.0,br BRA,DM,22-197,90,0,0,0,0,3,1,0,0,103,4,2,0,0.1,0.1,0.0,5,1,80,86,93.0,10,62,3,1,0,Metinho,5.0,br BRA,DM,22-197,90,80,86,93.0,1230,356,41,42,97.6,35,37,94.6,2,4,50.0,0,0.0,0.1,1,17,1,0,10,Metinho,5.0,br BRA,DM,22-197,90,86,85,1,1,0,0,0,0,0,0,0,0,80,0,0,Metinho,5.0,br BRA,DM,22-197,90,4,2,0,2,2,3,4,75.0,1,0,0,0,2,6,1,0,Metinho,5.0,br BRA,DM,22-197,90,103,2,10,66,27,3,103,1,0,0.0,1,100.0,62,368,158,3,0,0,4,0,76,3,Metinho,5.0,br BRA,DM,22-197,90,0,0,0,0,3,0,0,2,2,0,0,0,6,0,2,0.0
