Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Union SG,UEFA Champions League,J2,43%,334 of 421 — 79%,6 of 16 — 38%,2 of 4 — 50%
Newcastle Utd,UEFA Champions League,J2,57%,84% — 464 of 553,36% — 4 of 11,100% — 6 of 6
