Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Dortmund,UEFA Champions League,J2,52%,482 of 570 — 85%,8 of 13 — 62%,2 of 3 — 66%
Athletic Club,UEFA Champions League,J2,48%,82% — 428 of 519,50% — 3 of 6,50% — 4 of 8
