,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Alexander Nübel,Stuttgart,UEFA Europa League,de GER,29-037,90,4,0,4,100.0,0.5,8,12,66.7,37,5,32.4,28.9,0,,,17,0,0.0,2,19.8
J4,Timon Wellenreuther,Feyenoord,UEFA Europa League,de GER,29-338,90,6,2,4,66.7,2.4,11,26,42.3,44,2,59.1,40.4,0,,,11,0,0.0,0,
