Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Qaırat Almaty,UEFA Champions League,J2,33%,248 of 327 — 76%,4 of 11 — 36%,7 of 11 — 63%
Real Madrid,UEFA Champions League,J2,67%,87% — 568 of 655,58% — 11 of 19,100% — 4 of 4
