Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Hellas Verona,Italian Serie A,J10,28%,190 of 277 — 69%,2 of 8 — 25%,4 of 5 — 80%
Inter,Italian Serie A,J10,72%,85% — 613 of 717,24% — 5 of 21,50% — 1 of 2
