Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Newcastle Utd,UEFA Champions League,J4,58%,451 of 559 — 81%,4 of 8 — 50%,5 of 5 — 100%
Athletic Club,UEFA Champions League,J4,42%,72% — 292 of 406,42% — 5 of 12,50% — 2 of 4
