Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Utrecht,UEFA Europa League,J1,38%,227 of 336 — 68%,2 of 11 — 18%,3 of 4 — 75%
Lyon,UEFA Europa League,J1,62%,83% — 450 of 545,33% — 4 of 12,100% — 2 of 2
