Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Hoffenheim,German Bundesliga,J8,59%,454 of 573 — 79%,7 of 14 — 50%,2 of 3 — 66%
Heidenheim,German Bundesliga,J8,41%,70% — 276 of 394,25% — 3 of 12,57% — 4 of 7
