,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Paul Gartler,Rapid Wien,UEFA Europa Conference League,at AUT,28-241,90,8,1,7,87.5,1.5,6,21,28.6,23,3,56.5,45.4,9,88.9,58.1,9,0,0.0,4,28.0
J3,Pavlo Isenko,CS U Craiova,UEFA Europa Conference League,ua UKR,22-108,90,1,0,1,100.0,0.4,2,8,25.0,22,7,22.7,27.6,8,37.5,37.1,23,2,8.7,0,9.0
