,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J3,Thomas Strakosha,AEK Athens,UEFA Europa Conference League,al ALB,30-232,90,1,1,0,100.0,0.9,0,0,,15,2,0.0,20.6,1,0.0,11.0,1,0,0.0,2,25.3
J3,Ed McGinty,Shamrock Rovers,UEFA Europa Conference League,ie IRL,26-093,90,8,1,7,100.0,2.5,8,32,25.0,16,1,87.5,61.1,18,100.0,66.6,32,1,3.1,0,4.0
