Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Lyon,UEFA Europa League,J2,64%,720 of 795 — 91%,4 of 14 — 29%,5 of 5 — 100%
RB Salzburg,UEFA Europa League,J2,36%,81% — 361 of 445,45% — 5 of 11,50% — 2 of 4
