,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Jan Oblak,Atlético Madrid,UEFA Champions League,si SVN,32-301,90,3,1,2,66.7,1.1,4,8,50.0,24,5,16.7,27.3,8,50.0,47.3,12,3,25.0,2,13.1
J4,Kjell Scherpen,Union SG,UEFA Champions League,nl NED,25-285,90,6,3,3,50.0,2.9,4,11,36.4,22,2,50.0,40.3,4,0.0,25.3,15,1,6.7,1,15.0
