,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Jakub Markovič,Slavia Prague,UEFA Champions League,cz CZE,24-114,90,8,3,5,75.0,2.5,7,16,43.8,26,1,50.0,37.7,7,42.9,36.4,12,0,0.0,2,15.0
J4,David Raya,Arsenal,UEFA Champions League,es ESP,30-050,90,1,0,1,100.0,0.1,6,27,22.2,42,4,57.1,41.0,4,75.0,55.8,12,1,8.3,0,8.5
