Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Paris S-G,UEFA Champions League,J4,71%,676 of 761 — 89%,9 of 25 — 36%,3 of 5 — 60%
Bayern Munich,UEFA Champions League,J4,29%,75% — 235 of 315,56% — 5 of 9,88% — 8 of 9
